Job Title,Job URL,Experience Needed,Company Name,Location,Career Level,Education Level,Salary,Job Categories,Skills and Tools,Job Description,Job Requirements
APP/Software Solution Architect,https://wuzzuf.net/jobs/p/xJfJbUVq6DSg-APPSoftware-Solution-Architect-Cairo-Egypt,7 to 12 years,Confidential Company,"Cairo, Egypt",Experienced (Non-Manager),Bachelor's Degree,Confidential,Engineering - Construction/Civil/Architecture,"Agile, Java, Information Technology (IT), Solution Architect, Software Development, Computer Science, Software, Architecture, Scrum, No skills and tools found","Design the overall Solution/application architecture of the product with the help of the team.Guides project teams on technology strategy related to coding practices, continuous integration, and automated deployment.Accountable for the technical design of the product.Be hands-on and engage in coding to help the team develop his solution, solve all surfacing problems at hand, and identify and remove technical impediments.Works with the product owner to align the roadmap with strengths and opportunities within the technical stack.Works with delivery Lead/Manager to align the roadmap with tech dependencies and complexities handlingConstantly looking for better ways of solving technical problems and designing solutions, not afraid of challenging the status quo.Provide the team with a roadmap for implementing software engineering practices for higher code quality.Share responsibility with the product owner for building reusable and scalable components.Reporting to the Architecture lead, aligning architecture decisions and technology stacks implementation.","Key Skills:+7 years, Expert in the architecture and solutions of technical components of the domains, products, and digital customer journeys.Expert in designing architecture artifacts, documents, and UML as well as presentation capabilities for both backend and frontend solutions considering integrated journeys.can make architecture decisions at a team and product level.-Domain Expertise:Seasoned software architect with deep insight newest technologies and trends, Java/JVM, Kotlin, swift/Objective-C, Angular/React, Golang, and/or Python.Hands-on experience API-first driven decision and secure, easily scalable, and available solutions.Hands-on experience in production native-cloud Microservices, DevOps, and CI/CD environments.- Agile/ Digital Experience:Experience in Agile Development, with specific solution Architect ( or similar ) experience preferred.Understands relationship with the product owner, Scrum Master, Delivery Lead, and rest of the team.Experience managing technical priorities/depending on the backlog.- Individual Skills :Strong communication skills with the ability to align the organization on complex technical decisions.Active coach and mentor whose goals are to grow and maximize the team's potential.- Mindset & Behaviours:High energy and passionate individual who inspires teammates to reach their maximum potential.Excited about trying new solutions outside standard approval.Embraces a culture of trust, free thought complete transparency.Brave and rebellious, willing to challenge the status quo."
Front-End / React & React-Native Developer - Alexandria,https://wuzzuf.net/jobs/p/hIky8vMYzF6w-Front-End-React-React-Native-Developer---Alexandria-Arabic-Localizer-Alexandria-Egypt,More than 1 year,Arabic Localizer,"San Stefano, Alexandria",Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development,"JavaScript, Web Development, Mobile Application, ES6, ES7, Front-End Technologies, Vue, Angular, Information Technology (IT), React, Ecosystem, Redux, Redux-Saga, ReduxThunk, JSS, React-Router, Webpack, Gulp, Grant, HTML5, CSS3, SASS, LESS, React-Native, Android, IOS, GIT, Engineering, Computer Science, front-end, Software Development, No skills and tools found",We are looking for a front-end developer with an eye for detail to join our development team.Go through legacy code for existed projects to enhance and add more features. ,"Job Requirements:

Deep understanding of JavaScript fundamentals and common techniques.
1+ year experience in developing web / mobile apps.
Good Understanding in all ES6/ES7 features.
Good knowledge about modern front-end technologies such as Vue or Angular.
Strong experience in React and it's an ecosystem.

Strong experience in the next technologies and libraries:

Redux and its ecosystem such as redux-Saga, redux-thunk, redux sauce.
JSS
React-router
Building tools and module-bundlers such as Webpack and Babel + ( Gulp or Grunt )
Linting: eslint and it's common libraries
HTML5 / CSS3 and styling predecessors such as: SASS and LESS
Strong experience in React-Native and a good understanding of how it working on a fundamental level

Strong experience in the next technologies and libraries:

The most common modules that deal with native components such as react-navigation, react-native-animatable, react-native-fcm, react-native-camera, and react-native-video.
All linking steps and build steps for android and IOS.
Good experience in git and (npm or yarn)
"
System Analyst,https://wuzzuf.net/jobs/p/4vTOkDOWICZU-System-Analyst-Ofoq-Consulting-Cairo-Egypt,2 to 5 years,Ofoq Consulting,"Cairo, Egypt",Experienced (Non-Manager),Bachelor's Degree,"Confidential, 80-20% Model, I.E. 80% (Monthly) -20% (Biannual) Based On Performance.",IT/Software Development,"Analyst, Business Analysis, Communication skills, Information Technology (IT), System Analysis, Software, Software Development, System Analyst, analytical, business, Computer Science, Development, No skills and tools found","We're in search of a diligent System Analyst to be an integral part of our internal teams. This role demands an individual who can efficiently interface between our Functional and Development teams, turning business requirements into actionable software solutions. While expertise in Microsoft Dynamics 365 Finance and Operations (D365FO) is beneficial, the primary focus remains the synthesis of business needs into multiple software solutions, ensuring alignment with our objectives and industry best practices. Knowledge of HR & Payroll systems is highly desirable.Key Responsibilities:Internal Collaboration: Work closely with our Functional team to understand and gather software requirements, then collaborate with our Development team to ensure these requirements are technically realized.System Analysis: Evaluate and design specifications for software customizations and features across diverse platforms.Solution Design: Collaborate with both Functional and Development teams to formulate the most suitable solutions according to business needs.Documentation: Craft comprehensive documentation, including system designs, use cases, and flowcharts.Testing: Coordinate testing phases with both teams, ensuring solutions are in line with requirements and of the highest quality.Continuous Improvement: Identify potential areas of refinement and optimization in our software solutions.Training: Offer guidance and training sessions to team members about newly implemented processes and functionalities.","Bachelor’s degree in Computer Science, Information Technology, or a related field.Proven experience as a System Analyst, with expertise in diverse software solutions.Hands on experience with software development and documentationStrong analytical and problem-solving skills.Excellent written and verbal communication skills, essential for internal coordination.Ability to collaborate effectively within a team environment.Solid knowledge of business information systemsAbility to explain technical details.Knowledge of Microsoft Dynamics 365 Finance and Operations (D365FO) is a plus.Prior exposure to HR & Payroll systems."
Senior Front-End Developer (Angular),https://wuzzuf.net/jobs/p/FbuVSJYSnJvs-Senior-Front-End-Developer-Angular-3D-Diagnostix-Cairo-Egypt,2 to 4 years,3D Diagnostix,"Maadi, Cairo",Experienced (Non-Manager),Bachelor's Degree,"Confidential, Social and Medical insurance.",IT/Software Development,"Information Technology (IT), Computer Science, Engineering, HTML, Angular Js, javaScript, Database, Front-End, Angular, Angular 7, JS, Software Development, English, Troubleshooting, No skills and tools found","Responsibilities and duties:

Designs modify, develops, writes and implements software programming applications
Supports and/or installs software applications
Diagnoses issues in software applications and environments
Participates in the testing process through test review and analysis, test witnessing and certification of software
Interacts with colleagues and/or partners through a variety of mediums to provide support and understand needs
Develops various tools and customization within the core product and to increase day-to-day efficiency
Maintains infrastructure to ensure smooth operations
","Qualifications:A bachelor’s degree (computer science, engineering, preferred)2+ years of relevant experience.Strong knowledge of Angular Js and/or Angular 7, HTML, and JavaScript.Database Knowledge.Excellent English language skillsSkills and Competencies:Strong analytical, troubleshooting, and problem-solving skills.Strong communication, organizational, and customer service skills.Attention to detail.TeamworkSelf-Discipline"
It Specialist and System Administrator,https://wuzzuf.net/jobs/p/VPhBUvOyDYOh-It-Specialist-and-System-Administrator-Kiromarble-for-marble-and-granite-Cairo-Egypt,2 to 3 years,Kiromarble for marble and granite,"Sheraton, Cairo",Entry Level (Junior Level / Fresh Grad),Not Specified,7000 to 7500 EGP Per Month,Installation/Maintenance/Repair,"MCSA, Information Technology (IT), System Administration, System administrator, No skills and tools found","Install and configure software and hardwareManage network servers and technology toolsSet up accounts and workstationsMonitor performance and maintain systems according to requirementsTroubleshoot issues and outagesEnsure security through access controls, backups and firewallsUpgrade systems with new releases and modelsDevelop expertise to train staff on new technologiesBuild an internal wiki with technical documentation, manuals and IT policies","Proven experience as a System Administrator, Network Administrator or similar roleExperience with databases, networks (LAN, WAN) and patch managementKnowledge of system security (e.g. intrusion detection systems) and data backup/recoveryAbility to create scripts in Python, Perl or other languageFamiliarity with various operating systems and platformsResourcefulness and problem-solving aptitudeExcellent communication skillsBSc/Ba in Information Technology, Computer Science or a related discipline; professional certification (e.g. Microsoft Certified Systems Administrator (MCSA)) is a plus"
Senior Flutter Developer,https://wuzzuf.net/jobs/p/8fegixusrQZp-Senior-Flutter-Developer-Golden-Gates-Giza-Egypt,3 to 7 years,Golden Gates,"Giza, Egypt",Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"Development, Agile, flutter, No skills and tools found","Design, develop, test, and maintain mobile applications using FlutterCollaborate with other developers to implement new features and fix bugsParticipate in code reviews and provide feedback to other developersStay up-to-date with the latest Flutter and Dart developmentsMentor and train junior developers",Bachelor in Software Engineering or Computer Science or equivalent degree3+ years of experience with Flutter Strong understanding of Flutter best practices and design patternsExperience with testing and debugging Flutter applicationsExperience with version control systems such as GitExperience with agile development methodologiesExcellent problem-solving and analytical skillsAbility to work independently and as part of a team
program support,https://wuzzuf.net/jobs/p/R0rgZz3OXgUd-program-support-YELO-Cairo-Egypt,1 to 3 years,YELO,"Sheraton, Cairo",Experienced (Non-Manager),Not Specified,Confidential,Customer Service/Support,"Communication, Coordinator, Customer Support, Development, Information Technology (IT), Program Management, Programming, Program Coordinator, No skills and tools found","Project Support and Program Management SkillsAnalytical Skills and attention to detailExcellent Communication and Interpersonal skillsAdministrative Assistance and organizational skillsProficiency in MS office and experience using project management toolsSelf-motivation and ability to work in a teamA bachelor's degree in a relevant field (such as Business Administration, Project Management, or a related discipline) or equivalent practical experience","Proven experience as program coordinator or relevant positionKnowledge of program management and development proceduresKnowledge of budgeting, bookkeeping and reportingTech savvy, proficient in MS OfficeAbility to work with diversity and multi-disciplinary teamsExcellent time-management and organizational skillsOutstanding verbal and written communication skillsDetail-oriented and efficientCCNA- MCNA Certification "
Senior Frontend Developer (Vue.JS),https://wuzzuf.net/jobs/p/rO5FnaMThbXF-Senior-Frontend-Developer-VueJS-TRIMETIS-Cairo-Egypt,7 to 10 years,TRIMETIS,"Cairo, Egypt",Experienced (Non-Manager),Bachelor's Degree,"Confidential, Social Insurance - Medical Onsurance",IT/Software Development,"Information Technology (IT), Software Development, senior, Js, Vue, Vue.js, Software Engineering, Frontend Developer, Frontend, developer, Computer Science, No skills and tools found","Our Client's mission is to develop the world's most intuitive and capable F&B management platform. Required Skills:  Profound experience with frontend frameworks (min. 7 years, 10 years+ including full stack preferred)Proficiency in Vue.JS, familiarity with Angular, React, Next.JSDeep understanding of JavaScript/TypeScript, HTML5 and CSSFamiliarity with design frameworks such as Bootstrap, tailwind, etc.Experience with Design-Handoff-Tools a plus (e.g. Sketch, Zeplin)Well-versed with relational databases and object graphsFamiliar with usage of APIs (REST, SOAP, JSON)Proficient in using version control (Git), familiarity with continuous integrationSome experience with dev-ops and deployment, in particular the harmonization between networks, services and operating systemsGood coding habits, such as unit tests and documentationUniversity degree in a related or technical fieldExcellent communication skills in written and oral English","● BSc in Computer Science, Engineering or a relevant field"
Senior PHP Developer,https://wuzzuf.net/jobs/p/9a9ltUyZW3xo-Senior-PHP-Developer-TRIMETIS-Cairo-Egypt,7 to 10 years,TRIMETIS,"Cairo, Egypt",Experienced (Non-Manager),Bachelor's Degree,"Confidential, Medical Insurance - Social Insurance",IT/Software Development,"Information Technology (IT), PHP developer, PHP, senior, Software Development, Software Engineering, Senior PHP, Computer Science, No skills and tools found","Our Client's mission is to develop the world's most intuitive and capable F&B management platform. Required Skills: Profound experience with PHP (min. 7 years, 10 years+ preferred)Well-versed with relational databases such as MySQL and postgres, including performance questions with large datasetsExperience with PHP MVC frameworks such as LaravelExperienced with ORM and persistence frameworks such as Eloquent an advantageFamiliar with usage and production of APIs (REST, SOAP, JSON)Proficient in using version control (Git), familiarity with continuous integrationGood understanding of JavaScript/TypeScript (Vue.js), HTML5 and CSSHands-on experience with dev-ops, in particular the harmonization between networks, services and operating systemsGood coding habits, such as unit tests and documentationFamiliarity with frameworks such as Sentry, Elastic Search, TableauUniversity degree in a related or technical fieldExcellent communication skills in written and oral English   ",No Job requirments found
Java Developer,https://wuzzuf.net/jobs/p/HN5LUNbKuByi-Java-Developer-Dedalus-Cairo-Egypt,1 to 10 years,Dedalus,"Heliopolis, Cairo",Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development,"core java, jsp, Servlets, EJB 3, healthcare, oracle, plsql, No skills and tools found","About usOur Purpose is to serve each actor of the Healthcare Ecosystem to provide better care in a healthier planet and our Vision - a digitally-enabled healthcare ecosystem where all stakeholders actively collaborate across the continuum of care to improve each citizen's health outcomes.To support our Purpose and Vision, we need our Core Values which help us to drive our cultural journey.  We are looking for a hands-on Java developer who is technology-oriented, forward-thinking individual, with an entrepreneurial spirit.You will be responsible for developing and supporting Java projects, completing specific client work, projects and miscellaneous tasks while ensuring commitment and quality through to completion. This highly responsible position involves using established work procedures to analyze, design, develop, implement, maintain, re-engineer and troubleshoot large scale mission critical application, with a focus on scalability, maintainability, security and performance.You will participate in all phases of the software lifecycle with an emphasis on design, development, quality and implementation, and provide technical leadership to development teams.Ability to work as team and independently, on technical & operational aspects is the key.","Key skillsExtremely fluent in Core Java, JSP and Servlets, EJB 3.0, Eclipse, Ajax, JavaScript and XMLStrong Experience on JavaScript, JQuery, AJAX & JSON knowledgeGood hands-on experience in Oracle/Pl-SQL technologies.Ability to write/debug and understand database business objects.Expertise on HTML 5, CSS 3,UI Standards and development of browser agnostic web applications.Excellent debugging skills; able to debug complex technical issues involving multiple system components.Proven experience on Unit Test Automation (jUNIT)Excellent at SOLID design principles and understanding of various other design patterns.Effective problem-solving skills.Experience with Agile methodologies.Command of languages: English (Excellent) Identify options for potential solutions and assess them for technical and business suitabilityKeep abreast of technical and industry developmentsFamiliarity with version control systems such as TFS, Bit bucket, IBMs CM Synergy & code management principles.Additional skills/qualificationsMasters’ or bachelor’s degree in Computer Science, MIS, or Engineering 1 – 10 years of relevant IT experience with solid technical exposure and Candidate with more than 6+ Years should have experience in 4 or more real-time software development projects and handled/led 2 or more projects independently.Should have experience on designing/developing large scale or mission critical applications, preferably in the field of Healthcare.Exposure to Mobile platforms (Android/iOS) is an added advantage.Passion for programming extends beyond working hours.Experience of liaising extensively with external (onsite) or internal clients"
SAP Consultant ( Business One ),https://wuzzuf.net/jobs/p/8Rhkayo8zKQt-SAP-Consultant-Business-One-Cairo-Egypt,More than 4 years,Confidential Company,"Maadi, Cairo",Experienced (Non-Manager),Bachelor's Degree,"Confidential, Allowances 
Insurance 
Medical 
Telephone 
Transportation",IT/Software Development,"SAP, Software Development, Software, Project Management, SAP business one, ERP, No skills and tools found","A great opportunity for SAP Business One Consultant in a leading SAP Gold partner based in Egypt and UAE. The SAP business one consultant will be expected to take the following duties:Manage and lead team of consultants to successfully implementation the project in coordination with the project manager.Gather and analyse clients' business and functional specifications for translation into a detailed design document.Install, configure and optimise SAP Business One applications and solutions as per the design document.Design and undertake system testing and support User Acceptance Testing (UAT) paying attention to versioning and transition from development and test to production phasesProactively identify and assess risk and escalate to the project manager as requiredTroubleshoot implementation issuesProvide alternate solutions where technical constraints impede the business processProduce and maintain customer specific implementation documentation.Ensure projects are delivered to customers satisfaction within time and on budget.The majority of this role will be based on-site and will therefore require significant travel.HANA Database Configuration, Setup, Gathering Master Data, Preparation master data templates & uploading data by using DTW toolStrong SQL scripting and query writing skillsStrong report writing tool skills/Crystal Reports skills ",Skills:4- 10 Years of experience in SAP business One SAP Business One certificate is a plusmore than 20+ SAP projects end to end experience Excellent communication skills Very good in English 
Junior React Native App Developer,https://wuzzuf.net/jobs/p/4XLCBnpPVnVY-Junior-React-Native-App-Developer-Klik-Cairo-Egypt,Not Specified,Klik,"Maadi, Cairo",Entry Level (Junior Level / Fresh Grad),Not Specified,10000 to 15000 EGP Per Month,IT/Software Development,"React, React Native, Software Development, Software Engineering, Mobile Development, App Development, JavaScript, Junior Developer, Git, RESTful APIs, Agile, GraphQL, Software, No skills and tools found","As a Junior React Native App Developer at [Your Company Name], you will have the opportunity to learn and grow in a supportive environment. You will work closely with experienced developers and cross-functional teams to contribute to the development of cutting-edge mobile applications. This role is an excellent opportunity for someone looking to kick-start their career in mobile app development.Responsibilities:Collaborate with senior developers, product managers, and designers to assist in implementing mobile app features.Learn and write clean, maintainable, and efficient code in React Native.Contribute to the development and maintenance of mobile applications for iOS and Android platforms.Assist in optimizing app performance for a smooth user experience.Participate in troubleshooting and debugging activities.Stay up-to-date with industry trends and best practices.Seek guidance and mentorship from experienced team members.","Bachelor's degree in Computer Science, Software Engineering, or a related field (or currently pursuing one).Basic knowledge of JavaScript and a strong interest in learning React Native.Eagerness to learn and grow in mobile app development.Strong problem-solving skills and attention to detail.Excellent communication and teamwork skills.Ability to work in a fast-paced, agile development environment.Enthusiasm for staying updated on the latest technologies and tools in mobile development.Experience with Git is a plus.Knowledge of RESTful/GraphQL API integration is a plus.Experience releasing apps on Google Play Store/App Store is a plus."
Senior React Native App Developer,https://wuzzuf.net/jobs/p/jE5L5syB6sPv-Senior-React-Native-App-Developer-Klik-Cairo-Egypt,2 to 8 years,Klik,"Maadi, Cairo",Experienced (Non-Manager),Not Specified,18000 to 30000 EGP Per Month,IT/Software Development,"React Native, React, React Redux, Frontend End Development, Mobile App Development, TypeScript, Agile, SCRUM, RESTful APIs, GraphQL, UX/UI, UI/UX, Senior Developer, Software Engineering, Software Development, No skills and tools found","                    As a Senior React Native App Developer at Klik, you will play a crucial role in designing, developing, and maintaining cutting-edge mobile applications. You will work closely with cross-functional teams to bring our ideas to life, ensuring high-quality, performant, and user-friendly apps. Your expertise in React Native will be essential as you contribute to the development of our mobile product.Responsibilities:- Collaborate with product managers, designers, and other developers to define and implement mobile app features.- Write clean, maintainable, and efficient code in React Native.- Develop and maintain mobile applications for both iOS and Android platforms.- Optimize app performance for a smooth user experience.- Troubleshoot and debug issues as they arise.- Stay up-to-date with industry trends and incorporate best practices into the development process.- Mentor and provide guidance to junior developers. ","- Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent work experience).- Proven experience as a React Native developer, with a strong portfolio of mobile applications.- Extensive knowledge of JavaScript, ES6+, and TypeScript.- Familiarity with mobile app architecture patterns (MVC, MVVM, Redux).- Proficiency in RESTful/GraphQL API integration.- Experience with Git.- Strong problem-solving skills and attention to detail.- Excellent communication and teamwork skills.- Ability to work in a fast-paced, agile development environment.- Knowledge of native iOS and Android development is a plus.- Experience Releasing apps on Google Play Store/App Store is a plus"
Applications Support,https://wuzzuf.net/jobs/p/tw4mcBiBFvXW-Applications-Support-Giza-Egypt,0 to 1 year,Confidential Company,"6th of October, Giza",Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Installation/Maintenance/Repair,"computer, Computer Science, Information Technology (IT), ICDL, Programming, Network, Science, Engineering, Database, Customer Support, No skills and tools found","Implement and improve monitoring and alerting.Work with Developers and other Engineers in troubleshooting internal production issues.Perform network and operational tasks in the internal and production systems.Upgrade systems with new releases and models.Responsible for application administration activities in support of development, user acceptance test and production systems supporting web-deployed applications.Script operational tasks for faster and less error-prone execution.Work with the Operations and Product Development teams in continually improving the software deployment process.Maintain and evolve the security infrastructure on both internal and production environments.Investigates & coordinates the resolution of potential and actual service problems.  ",Bachelor’s Degree of engineering or computer science.Database & Programming language Knowledge. ICDL Certified .Network Knowledge - IPV4 and Subletting.
Senior PPC Specialist,https://wuzzuf.net/jobs/p/5G0E7wLJQNvL-Senior-PPC-Specialist-scandiweb-Cairo-Egypt,3 to 5 years,scandiweb,"Cairo, Egypt",Experienced (Non-Manager),Not Specified,"1000 to 1600 USD Per Month, The mentioned salary is in NET value.",IT/Software Development,"PPC, Google Analytics, Pay-per-click, Microsoft Ads, Meta Ads, Senior, Digital Marketing, No skills and tools found","Working closely with global brands and creating impressive websites is challenging and rewarding.scandiweb has collaborated with many well-known brands, such as Ford, Hyundai, BMW, Jaguar, Happy Socks, Lancome, L'Oreal, Puma, the MET, and more, to develop the best eCommerce solutions for their specific needs.Our diverse team of professionals from 50+ countries provides expertise in various areas, including Business Development, UX Design, Web Development, Project Management, Quality Assurance, and Digital Marketing.As the leading eCommerce Agency worldwide, we continuously strive to push boundaries and stay ahead. Join us and become part of our ambitious journey!Tailoring ads to the correct customers involves collaborating with various advertising channels. PPC experts consistently monitor and adjust strategies to achieve optimal engagement. As the team continues its growth, they are enthusiastic about having you join on board!","What are the goals and responsibilities of a Senior PPC Specialist?As a PPC Specialist, you will manage developing comprehensive paid search strategies and plans for new and existing clients in the US and Europe. Your duties will entail overseeing all facets of multiple search campaigns, starting from conceptualization and extending through execution and reporting, with an accurate emphasis on quality and precision within Google and Bing platforms. Being a senior means to support and mentor your team, as well.You will be tasked with continuous monitoring, optimization, A/B testing, and thorough reporting to ensure that key performance indicators (KPIs) exceed. Crafting persuasive Ad copy geared towards driving conversions will be a focal point. Moreover, you will be consistently on the lookout for new approaches to magnify and enhance paid search performance for clients, collaborating closely with analytics, UX, and CRO teams, as well as copywriters. Compiling monthly reports on paid search activity, accompanied by an insightful analysis of account performance, will be part of your routine. Additionally, you will keep a vigilant watch on, propose, and experiment with the latest digital marketing tactics.What do we expect from you?We are seeking an individual with extensive prior work experience in constructing and overseeing campaigns within Google Ads and Microsoft Ads. Proficiency in web analytics tools, particularly Google Analytics, is essential. A strong enthusiasm for self-driven learning is highly valued, as is the ability to manage multiple projects concurrently. As a self-initiator, you thrive without continual supervision and possess exceptional communication skills, functioning seamlessly within a team setting. An added advantage would be expertise in eCommerce marketing, along with a background in qualitative research. Solid knowledge of Conversion Rate Optimization (CRO) and Search Engine Optimization (SEO) is also a valuable asset. Please note that if you are joining scandiweb remotely, you will need to have your own hardware setup. After the probation period, it is possible to arrange a hardware upgrade.How to apply?Complete the necessary details, and we will promptly get back to you with the next steps.The next steps typically involve a test assignment and an interview.BenefitsGet the best PPC experience at the world's leading eCommerce Agency.Work on the most challenging and largest projects worldwide.Join a multinational team that delivers to customers in over 70 countries.Experience our online office, where everyone is connected regardless of their location.Receive support for hardware upgrades.Benefit from health insurance.Access certifications, events, and many other opportunities!"
PPC Specialist,https://wuzzuf.net/jobs/p/cYLMk73RXBLJ-PPC-Specialist-scandiweb-Cairo-Egypt,2 to 3 years,scandiweb,"Cairo, Egypt",Experienced (Non-Manager),Not Specified,"500 to 1000 USD Per Month, The mentioned salary range is in NET worth.",IT/Software Development,"Google Ads, PPC, SEO, pay-per-click, A/B Testing, Microsoft ads, No skills and tools found","Working closely with global brands and creating impressive websites is challenging and rewarding.scandiweb has collaborated with many well-known brands, such as Ford, Hyundai, BMW, Jaguar, Happy Socks, Lancome, L'Oreal, Puma, the MET, and more, to develop the best eCommerce solutions for their specific needs.Our diverse team of professionals from 50+ countries provides expertise in various areas, including Business Development, UX Design, Web Development, Project Management, Quality Assurance, and Digital Marketing.As the leading eCommerce Agency worldwide, we continuously strive to push boundaries and stay ahead. Join us and become part of our ambitious journey!Tailoring ads to the correct customers involves collaborating with various advertising channels. PPC experts consistently monitor and adjust strategies to achieve optimal engagement. As the team continues its growth, they are enthusiastic about having you join on board!What are the goals and responsibilities of a PPC Specialist?As a PPC Specialist, you will manage developing comprehensive paid search strategies and plans for new and existing clients in the US and Europe. Your duties will entail overseeing all facets of multiple search campaigns, starting from conceptualization and extending through execution and reporting, with an accurate emphasis on quality and precision within Google and Bing platforms. You will be tasked with continuous monitoring, optimization, A/B testing, and thorough reporting to ensure that key performance indicators (KPIs) exceed. Crafting persuasive Ad copy geared towards driving conversions will be a focal point. Moreover, you will be consistently on the lookout for new approaches to magnify and enhance paid search performance for clients, collaborating closely with analytics, UX, and CRO teams, as well as copywriters. Compiling monthly reports on paid search activity, accompanied by an insightful analysis of account performance, will be part of your routine. Additionally, you will keep a vigilant watch on, propose, and experiment with the latest digital marketing tactics.","What do we expect from you?We are seeking an individual with a minimum of three years of prior work experience in constructing and overseeing campaigns within Google Ads and Microsoft Ads. Proficiency in web analytics tools, particularly Google Analytics, is essential. A strong enthusiasm for self-driven learning is highly valued, as is the ability to manage multiple projects concurrently. As a self-initiator, you thrive without continual supervision and possess exceptional communication skills, functioning seamlessly within a team setting. An added advantage would be expertise in eCommerce marketing, along with a background in qualitative research. Familiarity with Conversion Rate Optimization (CRO) and Search Engine Optimization (SEO) would also be a valuable asset. Please note that if you are joining scandiweb remotely, you will need to have your own hardware setup. After the probation period, it is possible to arrange a hardware upgrade.How to apply?Complete the necessary details, and we will promptly get back to you with the next steps.The next steps typically involve a test assignment and an interview.BenefitsGet the best PPC experience at the world's leading eCommerce Agency.Work on the most challenging and largest projects worldwide.Join a multinational team that delivers to customers in over 70 countries.Experience our online office, where everyone is connected regardless of their location.Receive support for hardware upgrades.Benefit from health insurance.Access certifications, events, and many other opportunities!"
WPF DEVELOPER,https://wuzzuf.net/jobs/p/EImBM7gXGyRm-WPF-DEVELOPER-sios-Cairo-Egypt,1 to 3 years,sios,"Cairo, Egypt",Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"C#, WPF, No skills and tools found","Job DescriptionResponsible for development, support, maintenance and implementation of a complex project module. You should have good experience in application of standard software development principles. Be able to work as an independent team member, capable of applying judgment to plan and execute your tasks.  RESPONSIBILITIES:Responsible for building Desktop applications using WPF.Participate in the analysis & design of new functional requirement and systems.Ensures applying code guidelines and best practices. Job RequirementsQUALIFICATIONS:- Experience with object-oriented Design & Programming.- Experience with C# - Experience with WPFExperience with modern WPF designExperience with Crystal report for reports- Experience of Microsoft SQL Server development, Oracle- Experience in complex SQL Queries & Stored procedure- Experience of database performance optimization techniques.",
It officer,https://wuzzuf.net/jobs/p/04DrO22Oky2D-It-officer-Yassien-Partners-Law-Firm-Giza-Egypt,5 years,Yassien & Partners Law Firm,"Giza, Egypt",Experienced (Non-Manager),Bachelor's Degree,Males preferred,IT/Software Development,"Information Technology (IT), Software Development, Social Media, Graphic Design, No skills and tools found","A reputable Law firm is appointing is IT officer with three years' experience in using graphic programs, social media and documentary preparationJob code: 0040",No Job requirments found
Backend Developer,https://wuzzuf.net/jobs/p/e7RiE6WVzeOH-Backend-Developer-intella-Giza-Egypt,3 to 5 years,intella,"Dokki, Giza",Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development,"backend, Computer Science, engineer, Software, Software Development, Software Engineering, Software engineer, Information Technology (IT), Agile, Python, REST, MySQL, No skills and tools found","Design, modify, develop, write, test and implement software systemsImplement web services and REST APIs to power the systemsCollaborate with business team, scrum master and other developers to deliver high quality systemsExpectationsWrite clear, intuitive-to-use, and testable codeBuild scalable, robust, reliable, and state-of-the-art tech systems and infrastructureAbility and interest to work on product development from idealization to deployment and beyond","3-5 years of relevant experience Demonstrated capabilities in software development, architecture design and (Agile) project managementExperience with Node, Python, Design Patterns and OOPExperience with REST and API services, HTTP Status Codes, Content Negotiation, API versioning, and CachingExperience with MySQL, and/or SQLServer, MongoDBExperience with Unit testing and TDDBachelor’s degree in computer science, engineering or any related majors is requiredSupervising team members"
